id;demarche_date;num_demarche;code_origine;code_statut;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;2026-01-07;sensitize unlike for;yuck;whoa monasticism conservative;hospitable;hamburger;19:58:00;meaty morning airline;07:34:00;23289
2;2026-01-06;bolster but minority;knowledgeably who provided;throughout shoot;stabilise loudly valentine;apropos huzzah;04:30:00;joshingly swine round;01:07:00;1402
3;2026-01-07;customise folklore;oof;pish;tense gray loyally;abaft reword effector;03:26:00;gah oddly;06:13:00;17211
4;2026-01-07;wherever zowie;hefty intermix;helpfully;yowza;brr orderly tackle;22:52:00;fraudster;12:46:00;2584
5;2026-01-07;sheepishly yogurt;furiously yum oh;without;exasperation;than;21:20:00;grok indeed precious;20:41:00;21533
6;2026-01-07;abnormally twin;than sneak;tightly than;following ugh pish;when;02:18:00;doing hence yuck;09:19:00;25822
7;2026-01-07;neatly eek among;delirious pfft slowly;anguished;indeed;poetry fussy hmph;00:31:00;duh;22:22:00;3911
8;2026-01-06;athwart cannon ew;pine intensely;although sniveling yuck;cross-contamination boo;question gosh;22:41:00;developmental fantastic;04:32:00;21293
9;2026-01-06;prime;reporter contradict valuable;seemingly once narrate;indeed gah absentmindedly;boo watery;15:57:00;overconfidently sheepishly;14:12:00;700
10;2026-01-06;functional unlearn dicker;consequently rare badly;zowie ha battle;yum ick;however toe ha;17:35:00;plastic wilt arid;22:36:00;31666
