id;statut_debut_date;statut_fin_date;code_statut;motif_statut;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;05:55:00;22:15:00;orchid revoke baritone;whether;coordination;decent;18:53:00;explode mockingly quaintly;13:55:00;21098
2;12:36:00;17:48:00;limply bah supposing;sans;alongside;with;05:53:00;oof step;22:39:00;19100
3;17:08:00;21:41:00;the overdue anneal;owlishly ornate intensely;kindly;drat;00:31:00;sarcastic baritone;23:10:00;22773
4;08:29:00;10:43:00;analyse bleakly;reopen;polished;sonar personalise;00:17:00;meh pupil;03:35:00;32659
5;20:49:00;07:47:00;common experienced warmly;venom;smoothly despite more;that wicked disposer;15:22:00;midst;04:03:00;27378
6;23:07:00;16:10:00;sensitize developmental;writhing and;ouch;beloved;04:57:00;blah slimy;02:30:00;1023
7;06:41:00;10:21:00;order total negative;incidentally broadly;some;whereas partially;18:10:00;versus chilly torn;18:04:00;1063
8;19:52:00;13:25:00;huzzah carouse;throughout strictly;kaleidoscopic under politely;mockingly signature;06:19:00;qua consequently sardonic;05:51:00;18643
9;20:37:00;17:51:00;likewise;minister;indeed reach;regular;13:18:00;before yahoo ew;12:06:00;26513
10;10:05:00;09:42:00;scope dissemble;that meanwhile horn;mozzarella;whup;00:50:00;gripper wherever;08:22:00;32124
