id;situation_pro_debut_date;situation_profin_date;code_situation;commentaire;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;2026-01-06;2026-01-06;or overconfidently;furthermore stunning;weary tidy fortunately;geez elegantly regulate;22:01:00;uh-huh amongst;15:25:00;24624
2;2026-01-07;2026-01-07;heighten or;important failing;provided that;typewriter;21:48:00;underneath whenever fondly;10:13:00;13861
3;2026-01-07;2026-01-06;best;hurtful amidst oil;mantua oof factorise;misguided alongside youthfully;21:37:00;barring;19:19:00;11956
4;2026-01-06;2026-01-06;unlike splendid;truly conclude behind;memorable faithfully drain;commonly ugh;01:52:00;brook;17:03:00;694
5;2026-01-06;2026-01-07;into aha;silk hmph federate;replacement consequently;crank mortally;07:31:00;sheepishly hoot;02:10:00;18834
6;2026-01-07;2026-01-06;heating along advocate;doubter beautifully pace;forenenst midst;stained duh;22:45:00;anti svelte;17:02:00;31806
7;2026-01-07;2026-01-06;valiantly geez hmph;phooey gosh towards;doubtfully;finally if naughty;10:32:00;past gymnast;21:39:00;22762
8;2026-01-06;2026-01-06;questionably;far-flung;pretty before fruitful;smarten er;06:15:00;solidly;21:58:00;8613
9;2026-01-07;2026-01-06;but oh curse;intensely;ack goat;backburn across poor;18:14:00;from above yearly;03:56:00;14631
10;2026-01-06;2026-01-07;politely but;on cheerfully yahoo;responsibility;highly;06:10:00;pish hmph whoa;16:30:00;6125
